,GroupNumber,GroupType,LexiconType,Generation,ParticipantID,IP,Stage,Block,TrialNumber,Meaning,TrainingLabel,TypedLabel,SegmentedLabel,Exclude_Eng_non.ID,Exclude_Non.Eng,Exclude_other,Array1,Array2,Array3,Array4,Array5,Array6,Selected,Score,Time,Trial_Iteration,Transmitter,Pair,Unique_Participant,New_Redup_B,Exclude_ID,Adj_V,Adj_N,Non_Adj_V,Non_Adj_N,Consonant_redup_V,Consonant_redup_N,Consonant_N,Vowel_redup_V,Vowel_redup_N,Vowel_N,Syllable_N,Exclude_relevant,Adj_B,Non_Adj_B,Exclude_Eng_ID,SyllableRepetition,ConsonantRepetition
1,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,1,2001,pewa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:46.2,NA,0,initial_1_large,initial_1_large,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
2,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,2,2049,kopekowi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:50.3,NA,0,initial_1_large,initial_1_large,0,NA,0,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0
3,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,3,1008,kukuko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:54.4,NA,0,initial_1_large,initial_1_large,1,NA,0.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
4,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,4,2018,peku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:58.5,NA,0,initial_1_large,initial_1_large,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
5,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,5,2029,wakoko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:02.7,NA,0,initial_1_large,initial_1_large,1,NA,0.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
6,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,6,2030,kukuwipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:06.9,NA,0,initial_1_large,initial_1_large,1,NA,0.333,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
7,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,7,2016,wokopepe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:11.0,NA,0,initial_1_large,initial_1_large,1,NA,0.333,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
8,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,8,2023,wikawawo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:15.1,NA,0,initial_1_large,initial_1_large,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,1
9,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,9,2017,kika,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:19.3,NA,0,initial_1_large,initial_1_large,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1
10,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,10,1031,wakiwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:23.5,NA,0,initial_1_large,initial_1_large,0,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0
11,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,11,2057,kikawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:27.6,NA,0,initial_1_large,initial_1_large,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1
12,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,12,2058,kakawa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:31.7,NA,0,initial_1_large,initial_1_large,1,NA,0.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
13,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,13,1007,wikowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:35.9,NA,0,initial_1_large,initial_1_large,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
